code,term,id
18509011000001102,Coumadin 4mg tablets (Imported (Canada)),18509011000001102
933311000001105,Marevan 1mg tablets (Advanz Pharma),933311000001105
284011000001104,Marevan 3mg tablets (Advanz Pharma),284011000001104
204811000001109,Marevan 500microgram tablets (Advanz Pharma),204811000001109
461911000001100,Marevan 5mg tablets (Advanz Pharma),461911000001100
12957311000001102,Warfarin 1.5mg/5ml oral solution (Special Order),12957311000001102
12958011000001104,Warfarin 100micrograms/5ml oral solution (Special Order),12958011000001104
8728011000001102,Warfarin 10mg/5ml oral solution (Special Order),8728011000001102
8728311000001104,Warfarin 10mg/5ml oral suspension (Special Order),8728311000001104
32742511000001102,Warfarin 1mg capsules (Special Order),32742511000001102
421411000001103,Warfarin 1mg tablets (A A H Pharmaceuticals Ltd),421411000001103
19835411000001102,Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd),19835411000001102
303111000001107,Warfarin 1mg tablets (Actavis UK Ltd),303111000001107
739511000001109,Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd),739511000001109
9798311000001105,Warfarin 1mg tablets (Almus Pharmaceuticals Ltd),9798311000001105
10418211000001107,Warfarin 1mg tablets (Arrow Generics Ltd),10418211000001107
16071211000001106,Warfarin 1mg tablets (Bristol Laboratories Ltd),16071211000001106
28988911000001100,Warfarin 1mg tablets (Crescent Pharma Ltd),28988911000001100
22735311000001104,Warfarin 1mg tablets (DE Pharmaceuticals),22735311000001104
272711000001102,Warfarin 1mg tablets (IVAX Pharmaceuticals UK Ltd),272711000001102
524811000001109,Warfarin 1mg tablets (Kent Pharmaceuticals Ltd),524811000001109
30945211000001105,Warfarin 1mg tablets (Mawdsley-Brooks & Company Ltd),30945211000001105
746411000001102,Warfarin 1mg tablets (Mylan),746411000001102
17876711000001107,Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd),17876711000001107
321511000001106,Warfarin 1mg tablets (Sandoz Ltd),321511000001106
34760111000001106,Warfarin 1mg tablets (Sun Pharmaceutical Industries Europe B.V.),34760111000001106
437711000001102,Warfarin 1mg tablets (Teva UK Ltd),437711000001102
590411000001106,Warfarin 1mg tablets (The Boots Company Plc),590411000001106
36843011000001100,Warfarin 1mg tablets (Torrent Pharma (UK) Ltd),36843011000001100
21919511000001107,Warfarin 1mg tablets (Waymade Healthcare Plc),21919511000001107
10138911000001108,Warfarin 1mg tablets (Zentiva),10138911000001108
8729811000001101,Warfarin 1mg/5ml oral solution (Special Order),8729811000001101
8730111000001100,Warfarin 1mg/5ml oral suspension (Special Order),8730111000001100
20367411000001100,Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd),20367411000001100
18723611000001101,Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),18723611000001101
22736911000001105,Warfarin 1mg/ml oral suspension sugar free (DE Pharmaceuticals),22736911000001105
18288311000001103,Warfarin 1mg/ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd),18288311000001103
21919111000001103,Warfarin 1mg/ml oral suspension sugar free (Waymade Healthcare Plc),21919111000001103
12958511000001107,Warfarin 2.5mg/5ml oral solution (Special Order),12958511000001107
12959011000001109,Warfarin 25mg/5ml oral solution (Special Order),12959011000001109
8731411000001101,Warfarin 2mg/5ml oral solution (Special Order),8731411000001101
8733211000001101,Warfarin 2mg/5ml oral suspension (Special Order),8733211000001101
32742211000001100,Warfarin 3mg capsules (Special Order),32742211000001100
