code,term,id
19506911000001105,Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),19506911000001105
21677511000001105,Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),21677511000001105
29902111000001100,Lixiana 15mg tablets (Daiichi Sankyo UK Ltd),29902111000001100
29902411000001105,Lixiana 30mg tablets (Daiichi Sankyo UK Ltd),29902411000001105
29902711000001104,Lixiana 60mg tablets (Daiichi Sankyo UK Ltd),29902711000001104
13505411000001109,Pradaxa 110mg capsules (Boehringer Ingelheim Ltd),13505411000001109
19465811000001104,Pradaxa 150mg capsules (Boehringer Ingelheim Ltd),19465811000001104
13504711000001102,Pradaxa 75mg capsules (Boehringer Ingelheim Ltd),13504711000001102
14237311000001106,Xarelto 10mg tablets (Bayer Plc),14237311000001106
34793111000001102,Xarelto 15mg / 20mg treatment initiation pack (Bayer Plc),34793111000001102
19840811000001107,Xarelto 15mg tablets (Bayer Plc),19840811000001107
27160311000001106,Xarelto 2.5mg tablets (Bayer Plc),27160311000001106
19841411000001101,Xarelto 20mg tablets (Bayer Plc),19841411000001101
703907006,Apixaban 2.5mg tablets,703907006
703908001,Apixaban 5mg tablets,703908001
13532811000001109,Dabigatran etexilate 110mg capsules,13532811000001109
19469811000001101,Dabigatran etexilate 150mg capsules,19469811000001101
13532911000001104,Dabigatran etexilate 75mg capsules,13532911000001104
29903211000001100,Edoxaban 15mg tablets,29903211000001100
29903311000001108,Edoxaban 30mg tablets,29903311000001108
29903411000001101,Edoxaban 60mg tablets,29903411000001101
14254711000001104,Rivaroxaban 10mg tablets,14254711000001104
19842111000001101,Rivaroxaban 15mg tablets,19842111000001101
34819111000001102,Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets,34819111000001102
27810711000001104,Rivaroxaban 2.5mg tablets,27810711000001104
19842211000001107,Rivaroxaban 20mg tablets,19842211000001107
19524611000001102,VMP previous to 703907006,19524611000001102
21681211000001107,VMP previous to 703908001,21681211000001107
42206411000001101,VMP subsequent to 703907006,42206411000001101
42206511000001102,VMP subsequent to 703908001,42206511000001102
