"","cm","cm_0","cm_1"
"1",0.305057172152339,0.305057172152339,0.305057172152339
"2",0.276104762207714,0.276104762207714,0.276104762207714
"3",0.187162064630096,0.187162064630096,0.187162064630096
"4",0.0401167753543145,0.0401167753543145,0.0401167753543145
"5",0.0758633668577689,0.0758633668577689,0.0758633668577689
"6",0.0382162776928193,0.0382162776928193,0.0382162776928193
"7",0.0123807022540639,0.0123807022540639,0.0123807022540639
"8",0.0121213691986522,0.0121213691986522,0.0121213691986522
"9",0.00512026440538365,0.00512026440538365,0.00512026440538365
"10",0.276101839783419,0.276101839783419,0.276101839783419
"11",0.512723236342282,0.512723236342282,0.512723236342282
"12",0.317947738637815,0.317947738637815,0.317947738637815
"13",0.0266432079495155,0.0266432079495155,0.0266432079495155
"14",0.0624961629209179,0.0624961629209179,0.0624961629209179
"15",0.0679015890064336,0.0679015890064336,0.0679015890064336
"16",0.0200873950956692,0.0200873950956692,0.0200873950956692
"17",0.0116313114311325,0.0116313114311325,0.0116313114311325
"18",0.00611421922872079,0.00611421922872079,0.00611421922872079
"19",0.187159669676276,0.187159669676276,0.187159669676276
"20",0.317947034575615,0.317947034575615,0.317947034575615
"21",0.436050317927154,0.436050317927154,0.436050317927154
"22",0.0472095172872882,0.0472095172872882,0.0472095172872882
"23",0.0376956870521745,0.0376956870521745,0.0376956870521745
"24",0.0798535571406506,0.0798535571406506,0.0798535571406506
"25",0.0477421979494231,0.0477421979494231,0.0477421979494231
"26",0.0154875925466016,0.0154875925466016,0.0154875925466016
"27",0.00673187785500445,0.00673187785500445,0.00673187785500445
"28",0.0414549848584847,0.0414549848584847,0.0414549848584847
"29",0.0275327546103722,0.0275327546103722,0.0275327546103722
"30",0.0487857773491273,0.0487857773491273,0.0487857773491273
"31",0.0840887939199627,0.0840887939199627,0.0840887939199627
"32",0.0490593438673364,0.0490593438673364,0.0490593438673364
"33",0.037998164012134,0.037998164012134,0.037998164012134
"34",0.044409386866295,0.044409386866295,0.044409386866295
"35",0.028194016980949,0.028194016980949,0.028194016980949
"36",0.0141861738455009,0.0141861738455009,0.0141861738455009
"37",0.0801074686503186,0.0801074686503186,0.0801074686503186
"38",0.0659956512790079,0.0659956512790079,0.0659956512790079
"39",0.0398065175074506,0.0398065175074506,0.0398065175074506
"40",0.0491475291358545,0.0491475291358545,0.0491475291358545
"41",0.0628032645248664,0.0628032645248664,0.0628032645248664
"42",0.0465725053322639,0.0465725053322639,0.0465725053322639
"43",0.0298463499990405,0.0298463499990405,0.0298463499990405
"44",0.0289359893024872,0.0289359893024872,0.0289359893024872
"45",0.0168494948025699,0.0168494948025699,0.0168494948025699
"46",0.040823738544256,0.040823738544256,0.040823738544256
"47",0.0725387740011626,0.0725387740011626,0.0725387740011626
"48",0.0853071189467777,0.0853071189467777,0.0853071189467777
"49",0.0380295331349708,0.0380295331349708,0.0380295331349708
"50",0.0464693225848368,0.0464693225848368,0.0464693225848368
"51",0.0675549357693767,0.0675549357693767,0.0675549357693767
"52",0.0462563097159656,0.0462563097159656,0.0462563097159656
"53",0.028608612820037,0.028608612820037,0.028608612820037
"54",0.0236471781976394,0.0236471781976394,0.0236471781976394
"55",0.0136274202868803,0.0136274202868803,0.0136274202868803
"56",0.0221120583850484,0.0221120583850484,0.0221120583850484
"57",0.0525544009247055,0.0525544009247055,0.0525544009247055
"58",0.0446470929163193,0.0446470929163193,0.0446470929163193
"59",0.02995603943307,0.02995603943307,0.02995603943307
"60",0.0466415384358752,0.0466415384358752,0.0466415384358752
"61",0.0557658129855528,0.0557658129855528,0.0557658129855528
"62",0.0395204020520805,0.0395204020520805,0.0395204020520805
"63",0.0231914114744665,0.0231914114744665,0.0231914114744665
"64",0.013802055383458,0.013802055383458,0.013802055383458
"65",0.0132456137880413,0.0132456137880413,0.0132456137880413
"66",0.0176371869683595,0.0176371869683595,0.0176371869683595
"67",0.0284521147888425,0.0284521147888425,0.0284521147888425
"68",0.0291734220056993,0.0291734220056993,0.0291734220056993
"69",0.0290425850593473,0.0290425850593473,0.0290425850593473
"70",0.039746309272065,0.039746309272065,0.039746309272065
"71",0.0746198295369008,0.0746198295369008,0.0746198295369008
"72",0.0321318687410457,0.0321318687410457,0.0321318687410457
"73",0.00626838633038522,0.00626838633038522,0.00626838633038522
"74",0.00748660387192111,0.00748660387192111,0.00748660387192111
"75",0.00824295283720428,0.00824295283720428,0.00824295283720428
"76",0.0144907419204632,0.0144907419204632,0.0144907419204632
"77",0.0172705561174067,0.0172705561174067,0.0172705561174067
"78",0.0245568297811027,0.0245568297811027,0.0245568297811027
"79",0.0238994899543397,0.0238994899543397,0.0238994899543397
"80",0.0330664953345167,0.0330664953345167,0.0330664953345167
"81",0.0800391070382471,0.0800391070382471,0.0800391070382471
"82",0.305057172152339,0.305057172152339,0.305057172152339
"83",0.276104762207714,0.276104762207714,0.276104762207714
"84",0.187162064630096,0.187162064630096,0.187162064630096
"85",0.0401167753543145,0.0401167753543145,0.0401167753543145
"86",0.0758633668577689,0.0758633668577689,0.0758633668577689
"87",0.0382162776928193,0.0382162776928193,0.0382162776928193
"88",0.0123807022540639,0.0123807022540639,0.0123807022540639
"89",0.0121213691986522,0.0121213691986522,0.0121213691986522
"90",0.00512026440538365,0.00512026440538365,0.00512026440538365
"91",0.276101839783419,0.276101839783419,0.276101839783419
"92",0.512723236342282,0.512723236342282,0.512723236342282
"93",0.317947738637815,0.317947738637815,0.317947738637815
"94",0.0266432079495155,0.0266432079495155,0.0266432079495155
"95",0.0624961629209179,0.0624961629209179,0.0624961629209179
"96",0.0679015890064336,0.0679015890064336,0.0679015890064336
"97",0.0200873950956692,0.0200873950956692,0.0200873950956692
"98",0.0116313114311325,0.0116313114311325,0.0116313114311325
"99",0.00611421922872079,0.00611421922872079,0.00611421922872079
"100",0.187159669676276,0.187159669676276,0.187159669676276
"101",0.317947034575615,0.317947034575615,0.317947034575615
"102",0.436050317927154,0.436050317927154,0.436050317927154
"103",0.0472095172872882,0.0472095172872882,0.0472095172872882
"104",0.0376956870521745,0.0376956870521745,0.0376956870521745
"105",0.0798535571406506,0.0798535571406506,0.0798535571406506
"106",0.0477421979494231,0.0477421979494231,0.0477421979494231
"107",0.0154875925466016,0.0154875925466016,0.0154875925466016
"108",0.00673187785500445,0.00673187785500445,0.00673187785500445
